User ID,Gender,Quest Taken,Quest Completed,Dialogues,Loots,Loots Items,Loots Dead,Shots,Kills,Interaction NPC,Interaction Container,Attacks,Attacks - Quest Related,Attacks - Friendly NPC,Attacks - UnMotivated,Attacks - SelfDefense
105,1,7,5,68,1,0,1,0,1,27,20,3,3,0,0,0
109,1,9,3,79,3,1,0,201,3,30,31,57,54,3,0,0
111,1,7,3,46,13,4,5,45,9,13,20,71,0,14,30,27
115,1,14,3,63,60,60,0,0,0,16,0,0,0,0,0,0
123,1,16,5,82,33,33,0,6,1,29,13,5,5,0,0,0
127,1,9,4,53,32,15,17,32,1,16,31,10,10,0,0,0
133,1,7,5,24,21,17,4,0,1,7,14,3,3,0,0,0
135,1,3,3,17,0,0,0,35,19,2,2,193,0,160,6,27
149,1,13,7,100,57,51,6,24,5,41,27,19,3,0,0,16
177,1,12,3,40,0,0,0,0,0,20,1,50,0,50,0,0
181,1,11,4,63,5,3,0,0,2,16,9,7,0,7,0,0
188,1,8,4,45,13,4,3,143,8,18,17,83,4,34,4,41
191,1,9,4,32,25,2,23,0,1,12,13,7,5,2,0,0
236,1,2,2,21,2,1,0,0,5,5,3,26,0,15,0,11
106,2,8,3,64,59,42,0,302,44,24,33,341,115,212,8,6
128,2,7,3,30,31,13,13,63,10,10,24,185,106,79,0,0
175,1,11,3,53,34,34,0,22,0,17,6,1,0,0,0,1
145,1,14,5,72,36,36,0,0,1,27,18,5,5,0,0,0
160,2,13,4,57,51,45,4,21,5,25,37,61,4,56,1,0
178,2,9,5,54,57,39,18,0,11,25,30,33,5,0,0,28
130,1,13,6,75,58,57,1,14,4,36,45,7,4,0,0,3
179,1,12,7,46,34,34,0,0,1,16,0,5,5,0,0,0
151,1,9,4,45,36,33,3,24,7,19,1,26,0,2,0,24
117,1,7,3,53,0,0,0,10,1,19,5,5,4,0,0,1
121,1,9,4,40,11,10,0,0,2,27,9,6,4,2,0,0
159,1,11,4,56,45,43,2,52,5,17,35,17,13,3,0,1
161,1,10,3,36,45,42,1,0,3,14,27,230,2,228,0,0
136,2,1,0,23,12,5,0,11,15,6,2,125,0,109,2,14
150,2,5,5,30,12,7,0,118,10,19,22,91,3,0,48,40
131,1,15,6,88,25,8,7,65,34,47,28,84,12,49,6,17
139,1,14,6,79,41,37,3,1,12,37,22,43,5,3,8,27
122,2,9,4,45,0,0,0,0,0,13,3,4,0,4,0,0
124,2,14,6,53,36,33,1,5,5,37,12,32,4,19,0,9
144,2,7,3,42,43,19,0,183,21,18,10,98,87,11,0,0
162,2,12,7,79,57,40,10,79,12,54,30,43,3,2,12,26
103,1,9,4,47,35,33,2,0,1,23,33,7,7,0,0,0
125,1,7,3,37,18,18,0,63,0,30,20,6,5,1,0,0
120,2,3,2,7,9,6,0,13,7,6,19,23,0,20,2,1
134,2,4,3,28,11,6,1,35,7,17,10,58,51,7,0,0
140,2,9,4,66,4,1,3,0,10,16,3,5,3,0,1,1
108,2,6,3,27,2,2,0,15,0,12,2,14,13,1,0,0
138,2,2,1,10,26,3,5,53,21,16,8,301,39,255,4,3
