 GamesPlayed, GamesWon, GamesLeft, Ditches, Points, Kills, KillsPerMin, Deaths, Assists, CreepsKilled, CreepsDenied, NeutralsKilled, TowersDestroyed, RaxsDestroyed, TotalTime, SkillLevel,Gender
0.141362916,0.140589569,0.15,0.333333333,0.350239952,0.095653273,0.285714286,0.111196138,0.122157604,0.104006703,0.06964245,0.080559441,0.136485967,0.132340053,0.259790976,1,F
0.020602219,0.022108844,0,0,0.262428952,0.015710555,0.30952381,0.026489287,0.021663274,0.01201823,0.011796857,0.010606061,0.018838908,0.020157756,0.03923331,1,F
0.000633914,0,0,0,0.269742801,0.000463314,0.261904762,0.001648222,0.000523408,0.000475358,0.000227739,0.00016317,0,0,0.001125171,0,M
0.031378764,0.033446712,0.125,0.055555556,0.434886291,0.045446887,0.619047619,0.026371556,0.027159058,0.03742168,0.042928718,0.033030303,0.050749712,0.031551271,0.057958981,1,F
0,0.000566893,0,0,0.284199904,0.000379075,0.666666667,0.00011773,0.000290782,7.79E-05,0.000182191,6.99E-05,0,0,0.000138579,0,M
0.006339144,0.004535147,0,0,0.241342544,0.005601887,0.30952381,0.008476572,0.005815644,0.005518986,0.003917103,0.007738928,0.002691273,0.005258545,0.013660191,0,M
0.005071315,0.003968254,0,0,0.211058527,0.002990481,0.238095238,0.008241111,0.003634778,0.002255936,0.000910954,0.000955711,0.000768935,0.004382121,0.009453902,1,M
0.006656101,0.006235828,0,0.055555556,0.266761023,0.005475529,0.357142857,0.007652461,0.006106426,0.004608555,0.004531997,0.010652681,0.006920415,0.006134969,0.012164932,1,M
0.000633914,0.001133787,0,0,0.269742801,0.00075815,0.357142857,0.001000706,0.000872347,0.000410903,0.00070599,0.001818182,0.001922338,0.001752848,0.001348761,0,M
0.066561014,0.047619048,0.125,0.055555556,0.215924788,0.043551512,0.261904762,0.091770662,0.053125909,0.036226571,0.019562742,0.055011655,0.040753556,0.028921998,0.125944348,0,F
0.037083994,0.033446712,0,0.111111111,0.359434669,0.032137141,0.380952381,0.042323993,0.035998837,0.027012147,0.028672284,0.034032634,0.031910804,0.035933392,0.067475535,1,M
0.00570523,0.005668934,0.025,0,0.206649834,0.005728245,0.428571429,0.006475159,0.004681593,0.005841263,0.007811432,0.006806527,0.007304883,0.006134969,0.010460058,1,M
0.038034865,0.034580499,0.3,0.111111111,0.296105329,0.043593632,0.5,0.034730398,0.029398081,0.037080604,0.027191984,0.043193473,0.057285659,0.047326906,0.068411819,1,M
0.000316957,0.001133787,0,0,0.292613938,0.000716031,0.5,0.000470921,0.000465252,0.000478044,0.000341608,0.001864802,0.00153787,0.001752848,0.00080376,0,M
0.077020602,0.08106576,0.125,0,0.317624727,0.082343526,0.428571429,0.05827643,0.068857226,0.078847646,0.022477795,0.115547786,0.093041138,0.103418054,0.149952336,1,M
0.000316957,0.000566893,0,0,0.265717943,0.000421195,0.238095238,0.000941841,0.001017738,0.00044313,0.000341608,0.0004662,0.000384468,0.001752848,0.001041324,0,F
0.006656101,0.003968254,0,0,0.234528189,0.003243198,0.19047619,0.00694608,0.006833382,0.003295278,0.003074471,0.005967366,0.001153403,0.002629273,0.012877626,0,F
0.088431062,0.089002268,0.075,0.111111111,0.347211189,0.087313621,0.404761905,0.125794679,0.111718523,0.053675161,0.057481212,0.065384615,0.062283737,0.062226117,0.167224671,1,F
0.006656101,0.001133787,0.375,0.277777778,0.248200994,0.000842389,0.261904762,0.002060278,0.001337598,0.000529071,0.000546573,0.00039627,0.000768935,0.000876424,0.002201198,3,F
0,0.000566893,0,0,0.279089318,0.000252717,0.30952381,0.000470921,0.000552486,0.000107426,0,0.000512821,0,0.000876424,0.000333755,0,M
0.006339144,0.006235828,0,0,0.249035169,0.00539129,0.333333333,0.00718154,0.005030532,0.003773321,0.002163516,0.007738928,0.004229143,0.003505697,0.012430445,1,F
0.08177496,0.076530612,0.025,0,0.256900556,0.066927807,0.357142857,0.080880622,0.081360861,0.055547051,0.046025962,0.109463869,0.074971165,0.094653812,0.15165721,1,M
0.008240887,0.013038549,0.025,0,0.390416242,0.014320613,0.738095238,0.007358135,0.008258215,0.007533215,0.009109542,0.005734266,0.007304883,0.007011394,0.01480609,1,F
0.025990491,0.032879819,0,0.166666667,0.304092878,0.021143964,0.357142857,0.027784318,0.024280314,0.015391391,0.011956274,0.071188811,0.032679739,0.035933392,0.045507807,1,F
