"","killer_position_x","killer_position_y","victim_position_x","victim_position_y","killed_by","time","GunType","killerelevation","victimelevation","killdistance"
"21737131",668175.8,93651.35,668129.3,93586.05,"M16A4",154,"Rifle","Normal","Normal",80.1644559639768
"29542819",543110.4,238132,542905.1,241207.3,"AKM",457,"Rifle","Normal","Normal",3082.14506147909
"32672958",713347.8,339899.5,713594.6,339789.8,"S1897",245,"Shotgun","Normal","Normal",270.082080116338
"26024913",444816.1,628384.4,444579.3,628020.1,"S686",92,"Shotgun","Normal","Normal",434.498250859573
"16220554",302062,517707.3,294812.8,506558.1,"Mini 14",759,"Rifle","Normal","Normal",13298.7052482563
"33332090",356257.1,407622.8,355705.9,408268.2,"S1897",301,"Shotgun","Normal","Normal",848.741774628761
"13726553",361255.9,401079.6,360889.2,401263.6,"S686",419,"Shotgun","Normal","Normal",410.274164431552
"32371641",195719.2,281393.2,181533,287282.8,"Mini 14",587,"Rifle","Normal","Normal",15360.197218786
"10172656",435274.9,353730.6,432481.5,350678.5,"Mini 14",1016,"Rifle","Normal","Normal",4137.4385759791
"27622717",354816.7,409719.3,354981.2,409573.1,"Grenade",611,"Explosives","Normal","Normal",220.078826787139
"2180332",592362.6,154220.9,591387.4,147854.8,"M16A4",1895,"Rifle","Normal","Normal",6440.36056832224
"16770814",280892.6,560540.1,281984.3,560310.8,"P1911",278,"Pistol","Normal","Normal",1115.521124856
"33291768",561442.8,244349.6,558587.2,249818.2,"SCAR-L",622,"Rifle","Normal","Normal",6169.28175073895
"2233160",445146.5,628021.8,445048.8,628011.6,"S12K",246,"Shotgun","Normal","Normal",98.2310032525562
"27246342",445125.6,628175.6,445104.5,627731.6,"M416",278,"Rifle","Normal","Normal",444.501079863704
"2800927",342672.5,558113.7,336882,547825.2,"Kar98k",884,"Sniper","Normal","Normal",11806.0629551091
"14527762",163382.2,349741.5,164293.2,347918.8,"M416",839,"Rifle","Normal","Normal",2037.68405058293
"1545729",418857.6,328578.2,418418.5,328549.7,"M416",552,"Rifle","Normal","Normal",440.023931167362
"6459188",409280.3,284311.5,409870.8,284048.7,"M16A4",819,"Rifle","Normal","Normal",646.338990004466
"29094605",556739.9,133693,556714.4,133606,"Punch",89,"Melee","Normal","Normal",90.6600794175694
"36350469",538274.3,327181.1,550368.4,332188.9,"Mini 14",1786,"Rifle","Normal","Normal",13089.8936454808
"37786938",736299.3,433314.6,734820.6,435396.3,"M416",294,"Rifle","Normal","Normal",2553.43466335057
"22691401",167170.7,335291,166062.2,337412.2,"Mini 14",698,"Rifle","Normal","Normal",2393.37871846477
"37794733",416720.9,479401.6,416773.1,479455.1,"Punch",112,"Melee","Normal","Normal",74.7468393980317
"19128482",496961.7,279944,497052.9,279934.4,"AKM",1033,"Rifle","Normal","Normal",91.7038712378146
"20529586",435179.3,327741.1,435061.1,327617.2,"UMP9",317,"Sub Machine Gun","Normal","Normal",171.237992279734
"31386255",419648.4,324206.3,418536.3,324514.5,"P1911",231,"Pistol","Normal","Normal",1154.0163127097
