PlayerID,GamesPlayed,GamesWon,GamesLeft,Ditches,Points,SkillLevel,Kills,KillsPerMin, Deaths,Assists,CreepsKilled,CreepsDenied, NeutralsKilled, TowersDestroyed, RaxsDestroyed, TotalTime
0,447,248,6,6,1111.36,1,2271,0.12,1889,4201,38736,3058,3456,355,151,1116780
1,66,39,0,0,989.882,1,373,0.13,450,745,4484,518,455,49,23,169800
2,3,0,0,0,1000,0,11,0.11,28,18,186,10,7,0,0,6180
3,100,59,5,1,1228.46,1,1079,0.26,448,934,13943,1885,1417,132,36,250200
4,1,1,0,0,1020,0,9,0.28,2,10,38,8,3,0,0,1944
5,21,8,0,0,960.711,0,133,0.13,144,200,2064,172,332,7,6,60000
6,17,7,0,0,918.816,1,71,0.1,140,125,849,40,41,2,5,41940
7,22,11,0,1,995.875,1,130,0.15,130,210,1725,199,457,18,7,53580
8,3,2,0,0,1000,0,18,0.15,17,30,162,31,78,5,2,7140
9,211,84,5,1,925.548,0,1034,0.11,1559,1827,13498,859,2360,106,33,542100
10,118,59,0,2,1124.08,1,763,0.16,719,1238,10067,1259,1460,83,41,291060
11,19,10,1,0,912.717,1,136,0.18,110,161,2184,343,292,19,7,46260
12,121,61,12,2,1036.47,1,1035,0.21,590,1011,13816,1194,1853,149,54,295080
13,2,2,0,0,1031.64,0,17,0.21,8,16,187,15,80,4,2,4800
14,244,143,5,0,1066.24,1,1955,0.18,990,2368,29368,987,4957,242,118,645180
15,2,1,0,0,994.432,0,10,0.1,16,35,174,15,20,1,2,5820
16,22,7,0,0,951.284,0,77,0.08,118,235,1236,135,256,3,3,56640
17,280,157,3,2,1107.17,1,2073,0.17,2137,3842,19995,2524,2805,162,71,719340
18,22,2,15,5,970.199,3,20,0.11,35,46,206,24,17,2,1,10800
19,1,1,0,0,1012.93,0,6,0.13,8,19,49,0,22,0,1,2782
20,21,11,0,0,971.353,1,128,0.14,122,173,1414,95,332,11,4,54720
21,259,135,1,0,982.234,1,1589,0.15,1374,2798,20692,2021,4696,195,108,652500
22,27,23,1,0,1166.94,1,340,0.31,125,284,2814,400,246,19,8,64920
24,83,58,0,3,1047.52,1,502,0.15,472,835,5740,525,3054,85,41,196740
25,4,2,2,0,1000,0,11,0.18,1,13,230,54,35,3,0,3660
26,58,37,0,0,1071.13,1,457,0.17,451,562,6617,942,1197,65,18,161040
27,3,1,0,0,993.276,0,9,0.12,19,12,55,10,1,1,0,4560
28,5,1,0,0,993.552,0,19,0.1,34,31,242,38,17,2,0,11940
29,1,0,0,0,983.674,0,11,0.19,6,8,98,3,4,0,0,3409
30,1,0,0,0,983.674,0,3,0.05,13,10,47,0,0,0,0,3416
31,3,1,1,0,883.317,0,5,0.09,4,15,83,26,0,0,0,3266
32,80,37,9,1,1086.77,1,298,0.11,573,768,3023,199,828,24,9,166620
33,14,6,0,0,952.359,1,62,0.11,95,141,765,94,13,2,2,34020
34,38,25,0,0,1112.93,1,276,0.16,188,486,3721,419,806,43,18,100800
35,11,3,0,0,964.949,0,94,0.2,53,114,991,68,34,5,2,28320
36,2,0,1,0,978.438,0,4,0.06,17,16,28,6,1,0,0,4080
37,2,0,1,0,978.438,0,16,0.23,15,14,209,1,9,0,0,4080
38,27,12,3,0,1034.76,1,126,0.12,133,260,1347,52,341,21,7,65280
40,20,10,0,0,967.651,1,109,0.13,88,159,1760,203,445,11,5,48420
41,1,0,0,0,986.214,0,4,0.11,9,5,20,1,26,0,0,2164
42,14,10,1,0,1027.12,1,86,0.18,41,100,1036,128,269,14,3,28020
43,2,0,1,0,1000,0,10,0.28,4,8,32,8,5,0,0,2133
44,27,12,0,4,923.317,1,88,0.07,202,285,1914,339,497,9,3,73140
45,26,16,5,0,789.074,1,141,0.15,111,187,2778,278,429,27,17,55320
46,73,39,3,0,1054.21,1,409,0.14,314,757,5434,565,937,42,27,175020
47,3,2,0,0,1006.35,0,40,0.34,22,29,158,9,14,0,0,7140
48,120,60,7,1,915.4,1,922,0.19,653,984,13607,825,2583,107,46,285360
49,10,5,0,0,990.501,1,66,0.18,50,71,1074,132,66,6,1,22500
51,16,7,1,0,952.761,1,92,0.14,88,149,991,115,266,1,1,38820
52,106,38,1,1,920.047,0,310,0.07,581,721,5604,83,1024,53,22,253380
53,3,1,1,0,1018.94,0,4,0.05,19,15,60,11,3,1,0,4680
54,33,20,5,0,1196.11,1,149,0.12,173,345,1793,121,145,11,7,72420
55,36,11,2,0,759.936,0,135,0.11,216,228,1563,120,253,13,0,74820
56,62,28,0,0,1058.95,1,355,0.14,390,593,2896,339,119,27,13,149040
57,86,43,0,0,1112.26,1,440,0.13,512,929,5545,417,172,25,10,197280
58,134,77,3,0,1131.41,1,953,0.17,800,1358,12158,977,2248,133,58,341400
59,323,173,18,6,1176.64,1,2316,0.17,2057,3680,30454,1934,4339,247,74,821160
60,106,51,0,1,1114.77,1,728,0.16,753,1193,9009,692,645,73,32,277620
61,3,1,0,0,1000,0,2,0.02,23,19,161,1,45,1,0,7320
62,426,293,5,8,1216.36,2,2911,0.17,2433,5043,34939,1389,6732,413,187,1023180
63,77,33,4,5,922.076,1,420,0.13,447,639,7296,439,840,58,14,198360
66,88,49,0,2,1352.11,1,763,0.18,554,820,11983,1904,1701,97,50,250500
67,37,20,0,0,1133.23,1,304,0.19,241,398,3099,272,514,23,11,96780
68,90,36,3,0,919.583, SkillLevelNull,459,0.12,553,710,7529,325,2199,67,27,225960
69,5,3,0,0,994.973,0,28,0.13,32,58,419,36,116,5,3,12900
70,190,109,7,1,1177.95,1,1473,0.2,895,2137,12880,827,3246,175,49,439380
71,8,6,0,0,1017.07,0,69,0.25,44,91,413,34,31,4,2,16380
72,10,6,0,2,1000,1,57,0.16,49,60,1047,103,85,7,6,21060
73,78,67,0,0,1114.53,1,599,0.2,251,862,6844,933,1861,111,30,182820
74,12,7,2,0,1092.64,1,74,0.19,52,78,1086,103,76,9,4,23880
76,118,60,1,2,1000,1,418,0.09,801,1090,4935,634,893,44,18,274080
77,4,1,1,0,895.083,0,28,0.19,16,26,296,36,2,1,1,8760
78,1,0,0,0,977.663,0,0,0,9,11,36,4,7,0,0,2212
79,7,3,0,0,995.112,0,31,0.11,48,61,343,59,44,2,1,16980
80,71,39,1,0,1082.21,1,519,0.18,502,682,6961,844,1214,70,21,172920
81,30,13,0,0,1001.04,1,219,0.17,163,232,3307,288,567,38,19,76860
82,1,0,0,0,998.946,0,4,0.11,8,0,38,17,11,0,0,2185
83,182,92,1,1,1054.05,1,1079,0.14,1249,2037,13861,969,1667,87,37,449280
84,4,1,0,0,979.906,0,12,0.07,18,25,186,31,14,2,0,9720
85,25,11,0,0,944.387,1,117,0.1,179,279,1883,154,159,15,6,68100
87,329,143,8,3,949.161,1,1061,0.08,2273,3287,12605,1019,2312,107,46,840420
89,8,2,1,0,836.797,0,12,0.04,55,79,247,73,28,1,0,16500
90,89,47,1,0,1013.82,1,354,0.1,627,1003,4457,538,764,49,8,220080
91,203,111,2,1,1040.54,1,1745,0.2,1268,2065,21935,669,2553,251,92,513720
92,26,10,0,4,934.956,0,128,0.11,213,302,1563,123,136,11,5,66780
93,1,0,0,0,977.937,0,9,0.17,9,8,168,1,5,0,0,3107
94,654,351,5,3,1209.99,2,4876,0.17,3776,6300,65811,5978,13244,538,293,1712880
95,215,126,2,1,1602.95,3,1697,0.19,1080,2516,18905,2271,1931,199,68,540420
96,5,1,0,1,990.104,0,25,0.12,38,40,293,14,1,3,2,12480
98,27,12,1,1,984.073,1,119,0.11,176,227,1517,178,541,9,8,64320
99,12,7,0,0,1034.73,1,94,0.18,70,147,1270,80,65,8,5,31200
100,420,216,6,11,1061.71,1,1948,0.11,2512,4121,27094,2149,7346,254,104,1073460
101,163,104,9,0,1090.58,1,1059,0.16,1121,1844,11584,970,1192,109,46,407640
104,318,188,7,2,1043.33,1,2233,0.17,1638,3298,26709,1960,7175,228,109,782340
105,1,0,0,0,976.667,0,5,0.15,8,4,52,12,3,0,0,1980
106,1,1,0,0,1014.23,0,7,0.19,5,7,71,3,14,3,0,2232
107,75,38,6,4,1104.64,1,538,0.18,468,746,6920,457,865,61,29,181020
108,1,0,0,0,985.761,0,4,0.11,10,8,99,11,0,0,0,2232
109,1,0,0,0,985.761,0,5,0.13,10,7,58,3,5,0,0,2232
110,1,0,0,0,985.761,0,5,0.13,14,10,18,3,2,0,0,2232
111,186,133,3,0,1284.25,1,1897,0.26,751,2335,16077,1485,2319,220,99,436800
112,1,1,0,0,1000,0,10,0.36,2,7,55,1,9,1,0,1687
113,110,49,1,0,907.081,1,462,0.1,807,882,5999,725,3689,57,26,268980
115,16,7,0,0,972.749,1,76,0.12,83,129,659,64,53,5,0,37560
116,40,17,2,0,1000,1,118,0.08,220,336,1599,206,307,10,3,88260
117,9,7,0,0,1000,0,59,0.16,51,82,676,93,162,4,2,22080
118,38,26,1,0,1136.25,1,226,0.14,227,490,2280,97,273,25,12,96720
119,1,1,0,0,1018.2,0,2,0.08,4,5,19,4,0,0,0,1413
120,717,367,0,4,1038.46,1,3107,0.1,4901,7414,35093,4358,8395,255,118,1866060
121,198,108,2,0,1316.93,3,1096,0.13,1162,2300,14907,1202,3508,138,79,508800
122,3,1,0,2,1005.32,0,6,0.07,15,10,111,16,69,2,0,5040
123,56,42,0,0,1233.06,1,412,0.18,301,637,4449,386,1326,56,28,133800
124,252,131,1,1,1240.56,2,1702,0.16,1392,2801,23241,2282,3205,186,99,648480
125,76,38,3,0,1004.91,1,479,0.15,514,876,5852,442,1300,74,27,190140
126,44,18,1,1,1087.68,1,266,0.14,412,447,3037,134,344,28,14,111600
127,1,1,0,0,1020.77,0,19,0.36,7,13,116,4,9,1,0,3190
128,1,1,0,0,1017.84,0,3,0.09,4,5,122,19,13,3,0,1900
129,265,153,2,1,1272.18,1,2370,0.21,1260,2682,30507,3142,5038,339,146,666900
130,145,100,1,2,1127.19,1,1241,0.21,661,1555,17303,1571,2595,211,88,348960
131,6,2,1,0,874.938,0,32,0.15,30,49,435,14,20,7,1,13020
132,173,86,1,2,1075.67,1,1293,0.17,1024,1674,16697,558,2919,162,66,469440
133,11,5,0,0,1017.79,1,66,0.14,54,94,832,46,85,4,3,27480
134,1,0,0,0,987.55,0,9,0.17,5,20,119,6,6,0,0,3183
135,684,331,3,2,1101.35,1,3522,0.12,3637,6755,44494,3560,7191,359,198,1730460
136,18,13,1,0,954.684,1,155,0.25,63,150,1835,170,359,20,14,37560
137,319,171,2,1,1237.73,1,1483,0.11,2149,3826,15687,3015,1784,154,59,780240
138,4,3,0,0,1027.38,0,29,0.16,27,55,339,29,9,1,0,10620
139,8,6,0,0,982.067,0,71,0.23,43,80,515,69,91,15,9,18780
140,511,257,18,5,1079.83,1,2768,0.13,3997,4499,37393,2890,4562,321,112,1255440
142,303,155,2,0,1266.67,2,1521,0.12,2154,3969,15124,1382,1819,147,65,766740
143,21,10,2,0,879.639,1,95,0.12,116,182,1309,44,103,13,3,46500
144,253,138,2,0,1204.19,1,1697,0.15,1767,2956,20013,2047,3959,182,76,672480
147,5,4,0,0,1067.52,0,25,0.1,43,73,383,26,22,2,1,14460
148,9,4,1,0,938.526,0,24,0.08,44,51,629,49,34,6,3,17640
149,7,1,1,0,1000,0,30,0.14,48,16,230,19,52,3,0,12840
150,31,17,1,0,1141.8,1,250,0.2,150,319,2404,193,262,16,13,75540
152,14,8,0,0,967.43,1,71,0.13,57,121,1214,108,243,10,3,33600
153,1,0,0,0,979.186,0,5,0.09,9,12,174,28,3,0,0,3181
154,4,2,0,0,970.602,0,33,0.2,19,27,404,40,36,5,1,9660
156,1,0,0,0,979.353,0,6,0.09,8,10,180,11,7,0,0,3840
157,5,3,0,0,1028.09,0,45,0.21,20,26,501,53,238,5,1,12900
158,1,0,0,0,979.353,0,11,0.17,9,7,93,0,72,1,0,3780
159,90,50,1,0,1029.02,1,651,0.17,505,1012,7498,989,1165,84,56,226140
162,4,3,0,0,1022.37,0,31,0.21,21,30,419,22,36,5,1,9000
163,5,2,0,0,979.322,0,30,0.14,23,55,410,34,12,0,0,12540
164,17,13,1,2,1000,1,111,0.19,95,143,1191,217,80,20,8,34200
165,2,1,0,0,1016.32,0,11,0.18,2,12,129,6,50,0,0,3720
166,15,12,1,0,1049.49,1,123,0.2,67,156,1838,161,315,22,11,37080
168,80,53,2,0,927.033,0,565,0.18,341,860,7454,712,1365,63,31,189600
169,1,0,0,0,1000,0,3,0.04,6,13,156,3,36,1,0,4140
170,4,0,0,0,951.47,0,10,0.07,31,19,133,18,41,1,0,9000
171,1,0,0,0,986.381,0,3,0.08,5,8,95,4,4,0,0,2397
172,3,0,1,0,865.708,0,1,0.01,27,5,95,8,5,0,0,5040
173,9,2,0,0,922.095,0,34,0.1,75,51,259,63,10,1,1,19860
174,6,3,0,0,1021.61,0,10,0.04,23,43,222,0,89,3,2,14580
175,1,0,0,0,970.214,0,3,0.07,11,17,93,1,3,0,0,2663
176,4,1,0,0,964.279,0,15,0.09,24,32,297,16,16,2,1,9840
177,2,0,0,0,984.361,0,6,0.05,15,31,246,25,132,2,0,7500
179,26,9,1,0,947.278,0,141,0.13,158,214,2683,179,293,19,3,62820
180,183,113,13,4,1065.76,1,818,0.12,893,1997,9014,918,2051,106,50,418920
181,554,340,18,5,1136.11,1,4576,0.21,2688,5462,52355,2251,12688,623,279,1334820
182,2,2,0,0,1040.09,0,4,0.06,4,17,56,16,0,1,1,3900
183,207,133,7,4,1314.71,1,1999,0.24,1049,2329,22208,1166,3108,252,85,497700
184,2,0,0,0,1000,0,3,0.05,11,5,68,10,0,1,0,3900
185,789,497,4,0,986.833,1,5798,0.18,5567,10115,64083,3132,8670,646,195,1959180
